date,labour_force,registered_job_seekers,registered_unemployed_sa,unemployment_rate_sa,job_seeker_rate,log_registered_unemployed_sa_pct,registered_unemployed_sa_change_mom,log_registered_job_seekers_pct,registered_job_seekers_change_mom,chf_neer,snb_chf_neer,eur_chf,usd_chf,log_chf_neer_pct,chf_neer_appreciation_mom,log_snb_chf_neer_pct,snb_chf_neer_appreciation_mom,log_eur_chf_appreciation_pct,eur_chf_appreciation_mom,log_usd_chf_appreciation_pct,usd_chf_appreciation_mom
1948-01-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-02-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-03-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-04-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-05-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-06-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-07-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-08-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-09-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-10-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-11-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1948-12-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-01-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-02-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-03-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-04-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-05-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-06-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-07-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-08-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-09-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-10-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-11-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1949-12-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-01-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-02-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-03-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-04-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-05-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-06-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-07-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-08-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-09-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-10-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-11-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1950-12-01,2213492.0,,,,,,,,,,,,,,,,,,,,
1951-01-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-02-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-03-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-04-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-05-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-06-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-07-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-08-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-09-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-10-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-11-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1951-12-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-01-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-02-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-03-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-04-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-05-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-06-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-07-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-08-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-09-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-10-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-11-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1952-12-01,2346949.0,,,,,,,,,,,,,,,,,,,,
1953-01-01,2346949.0,,,,,,,,,,,,,,,,,,,,
